VESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x2c (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xc58
load:0x4086e610,len:0x31c0
entry 0x4086b910

==========================================================
 Potenciometro (ADC) -> brillo de un LED (PWM) - ESP32-C6
 ESP32-C6 rev 2 | 160 MHz | Arduino-ESP32 3.3.11
==========================================================
Entrada  GPIO2 -> ADC1 canal 2 | 12 bits (0..4095) | atenuacion 12 dB (0..3,3 V)
Salida   GPIO20 -> PWM 5000 Hz pedidos, 0 Hz reales | 12 bits (0..4095)
         LED de catodo comun | fuerza de salida: nivel 0 de 3 (registros del chip)
Comandos: r = prueba de ruido del ADC, i = esta cabecera
----------------------------------------------------------
adc:1429 mV:1380 pwm_pct:34.9
adc:1445 mV:1387 pwm_pct:35.3
adc:1420 mV:1375 pwm_pct:34.7
adc:1474 mV:1409 pwm_pct:36.0
adc:1501 mV:1461 pwm_pct:36.7
adc:1583 mV:1534 pwm_pct:38.7
adc:1660 mV:1605 pwm_pct:40.5
adc:1732 mV:1677 pwm_pct:42.3
adc:1835 mV:1771 pwm_pct:44.8
adc:1947 mV:1878 pwm_pct:47.5
adc:2067 mV:1997 pwm_pct:50.5
adc:2181 mV:2108 pwm_pct:53.3
adc:2296 mV:2214 pwm_pct:56.1
adc:2405 mV:2325 pwm_pct:58.7
adc:2529 mV:2445 pwm_pct:61.8
adc:2660 mV:2565 pwm_pct:65.0
adc:2779 mV:2683 pwm_pct:67.9
adc:2925 mV:2826 pwm_pct:71.4
adc:3061 mV:2953 pwm_pct:74.7
adc:3082 mV:2971 pwm_pct:75.3
adc:3082 mV:2970 pwm_pct:75.3
adc:3082 mV:2974 pwm_pct:75.3
adc:3133 mV:3019 pwm_pct:76.5
adc:3393 mV:3273 pwm_pct:82.9
adc:3434 mV:3309 pwm_pct:83.9
adc:3432 mV:3309 pwm_pct:83.8
adc:3429 mV:3307 pwm_pct:83.7
adc:3435 mV:3310 pwm_pct:83.9
adc:3431 mV:3310 pwm_pct:83.8
adc:3435 mV:3309 pwm_pct:83.9
adc:3434 mV:3310 pwm_pct:83.9
adc:3435 mV:3311 pwm_pct:83.9
adc:3434 mV:3311 pwm_pct:83.9
adc:3435 mV:3312 pwm_pct:83.9
adc:3434 mV:3309 pwm_pct:83.9
adc:3435 mV:3309 pwm_pct:83.9
adc:3433 mV:3309 pwm_pct:83.8
adc:3433 mV:3310 pwm_pct:83.8
adc:3433 mV:3307 pwm_pct:83.8
adc:3432 mV:3311 pwm_pct:83.8
adc:3437 mV:3309 pwm_pct:83.9
adc:3432 mV:3309 pwm_pct:83.8
adc:3435 mV:3312 pwm_pct:83.9
adc:3433 mV:3308 pwm_pct:83.8
adc:3433 mV:3309 pwm_pct:83.8
adc:3431 mV:3310 pwm_pct:83.8
adc:3433 mV:3309 pwm_pct:83.8
adc:3434 mV:3310 pwm_pct:83.9
adc:3433 mV:3311 pwm_pct:83.8
adc:3434 mV:3311 pwm_pct:83.9
adc:3412 mV:3288 pwm_pct:83.3
adc:3376 mV:3250 pwm_pct:82.4
adc:3337 mV:3220 pwm_pct:81.5
adc:3312 mV:3186 pwm_pct:80.9
adc:3268 mV:3152 pwm_pct:79.8
adc:3229 mV:3117 pwm_pct:78.9
adc:3187 mV:3079 pwm_pct:77.8
adc:3152 mV:3043 pwm_pct:77.0
adc:3122 mV:3010 pwm_pct:76.2
adc:3089 mV:2980 pwm_pct:75.4
adc:3057 mV:2954 pwm_pct:74.7
adc:3028 mV:2919 pwm_pct:73.9
adc:2990 mV:2882 pwm_pct:73.0
adc:2955 mV:2851 pwm_pct:72.2
adc:2921 mV:2815 pwm_pct:71.3
adc:2881 mV:2788 pwm_pct:70.4
adc:2851 mV:2749 pwm_pct:69.6
adc:2818 mV:2717 pwm_pct:68.8
adc:2778 mV:2685 pwm_pct:67.8
adc:2745 mV:2642 pwm_pct:67.0
adc:2703 mV:2608 pwm_pct:66.0
adc:2669 mV:2571 pwm_pct:65.2
adc:2618 mV:2515 pwm_pct:63.9
adc:2572 mV:2472 pwm_pct:62.8
adc:2526 mV:2434 pwm_pct:61.7
adc:2474 mV:2390 pwm_pct:60.4
adc:2426 mV:2338 pwm_pct:59.2
adc:2380 mV:2301 pwm_pct:58.1
adc:2370 mV:2282 pwm_pct:57.9
adc:2363 mV:2284 pwm_pct:57.7
adc:2364 mV:2284 pwm_pct:57.7
adc:2365 mV:2284 pwm_pct:57.8
adc:2366 mV:2284 pwm_pct:57.8
adc:2369 mV:2283 pwm_pct:57.9
adc:2364 mV:2285 pwm_pct:57.7
adc:2366 mV:2285 pwm_pct:57.8
adc:2365 mV:2288 pwm_pct:57.8
adc:2370 mV:2284 pwm_pct:57.9
adc:2355 mV:2280 pwm_pct:57.5
adc:2346 mV:2278 pwm_pct:57.3
adc:2326 mV:2248 pwm_pct:56.8
adc:2292 mV:2213 pwm_pct:56.0
adc:2270 mV:2185 pwm_pct:55.4
adc:2243 mV:2157 pwm_pct:54.8
adc:2209 mV:2133 pwm_pct:53.9
adc:2170 mV:2092 pwm_pct:53.0
